std_company_name,ISIN,bse_symbol,nse_symbol
Reliance Industries Ltd,INE002A01018,RELIANCE,RELIANCE
Tata Consultancy Services Ltd.,INE467B01029,TCS,TCS
HDFC Bank Ltd.,INE040A01034,HDFCBANK,HDFCBANK
Bharti Airtel  Ltd.,INE397D01024,BHARTIARTL,BHARTIARTL
ICICI Bank Ltd.,INE090A01021,ICICIBANK,ICICIBANK
Infosys Ltd,INE009A01021,INFY,INFY
State Bank Of India,INE062A01020,SBIN,SBIN
LIFE INSURANCE CORPORATION OF INDIA,INE0J1Y01017,LICI,LICI
Hindustan Unilever Ltd.,INE030A01027,HINDUNILVR,HINDUNILVR
ITC Ltd,INE154A01025,ITC,ITC
Larsen & Toubro Limited,INE018A01030,LT,LT
HCL Technologies Ltd,INE860A01027,HCLTECH,HCLTECH
Bajaj Finance Limited,INE296A01024,BAJFINANCE,BAJFINANCE
Sun Pharmaceutical Industries Ltd.,INE044A01036,SUNPHARMA,SUNPHARMA
NTPC Limited,INE733E01010,NTPC,NTPC
Maruti Suzuki India  Ltd.,INE585B01010,MARUTI,MARUTI
Tata Motors Ltd.,INE155A01022,TATAMOTORS,TATAMOTORS
AXIS Bank Ltd.,INE238A01034,AXISBANK,AXISBANK
Oil And Natural Gas Corporation Ltd,INE213A01029,ONGC,ONGC
Mahindra & Mahindra Ltd.,INE101A01026,M&M,M&M
Kotak Mahindra Bank Ltd.,INE237A01028,KOTAKBANK,KOTAKBANK
Adani Enterprises Ltd.,INE423A01024,ADANIENT,ADANIENT
UltraTech Cement Ltd,INE481G01011,ULTRACEMCO,ULTRACEMCO
POWER GRID CORPORATION OF INDIA LIMITED,INE752E01010,POWERGRID,POWERGRID
Hindustan Aeronautics Limited,INE066F01020,HAL,HAL
Titan Company Limited,INE280A01028,TITAN,TITAN
Adani Ports and Special Economic Zone Ltd,INE742F01042,ADANIPORTS,ADANIPORTS
Avenue Supermarts Limited,INE192R01011,DMART,DMART
Coal India Limited,INE522F01014,COALINDIA,COALINDIA
Wipro  Ltd.,INE075A01022,WIPRO,WIPRO
Bajaj Auto Limited,INE917I01010,BAJAJ-AUTO,BAJAJ-AUTO
Asian Paints Ltd.,INE021A01026,ASIANPAINT,ASIANPAINT
Bajaj Finserv Limited,INE918I01026,BAJAJFINSV,BAJAJFINSV
Adani Green Energy Limited,INE364U01010,ADANIGREEN,ADANIGREEN
Siemens Ltd.,INE003A01024,SIEMENS,SIEMENS
Adani Power Limited,INE814H01011,ADANIPOWER,ADANIPOWER
Trent Ltd [Lakme Ltd],INE849A01020,TRENT,TRENT
Nestle India Ltd.,INE239A01024,NESTLEIND,NESTLEIND
JSW Steel Limited,INE019A01038,JSWSTEEL,JSWSTEEL
Zomato Limited,INE758T01015,ZOMATO,ZOMATO
Hindustan Zinc Ltd.,INE267A01025,HINDZINC,HINDZINC
Indian Oil Corporation Ltd.,INE242A01010,IOC,IOC
Bharat Electronics Ltd.,INE263A01024,BEL,BEL
Indian Railway Finance Corporation,INE053F01010,IRFC,IRFC
Jio Financial Services Limited,INE758E01017,JIOFIN,JIOFIN
DLF LIMITED,INE271C01023,DLF,DLF
Varun Beverages Limited,INE200M01039,VBL,VBL
TATA STEEL LIMITED,INE081A01020,TATASTEEL,TATASTEEL
Grasim Industries Ltd,INE047A01021,GRASIM,GRASIM
Vedanta Limited,INE205A01025,VEDL,VEDL
LTIMindtree Limited,INE214T01019,LTIM,LTIM
InterGlobe Aviation Limited,INE646L01027,INDIGO,INDIGO
SBI Life Insurance Company Limited,INE123W01016,SBILIFE,SBILIFE
Power Finance Corporation Ltd,INE134E01011,PFC,PFC
ABB India Limited,INE117A01022,ABB,ABB
Tech Mahindra Limited,INE669C01036,TECHM,TECHM
Pidilite Industries Ltd.,INE318A01026,PIDILITIND,PIDILITIND
Hindalco Industries Ltd.,INE038A01020,HINDALCO,HINDALCO
Ambuja Cements Ltd.,INE079A01024,AMBUJACEM,AMBUJACEM
HYUNDAI MOTOR INDIA LIMITED,INE0V6F01027,HYUNDAI,HYUNDAI
HDFC LIFE INSURANCE COMPANY LIMITED,INE795G01014,HDFCLIFE,HDFCLIFE
REC LIMITED,INE020B01018,RECLTD,RECLTD
Divi's Laboratories Ltd.,INE361B01024,DIVISLAB,DIVISLAB
Gail (India) Ltd.,INE129A01019,GAIL,GAIL
Bharat Petroleum Corpn. Ltd.,INE029A01011,BPCL,BPCL
Tata Power Co. Ltd,INE245A01021,TATAPOWER,TATAPOWER
Godrej Consumer Products Ltd.,INE102D01028,GODREJCP,GODREJCP
Britannia Industries Ltd.,INE216A01030,BRITANNIA,BRITANNIA
Eicher Motors Ltd.,INE066A01021,EICHERMOT,EICHERMOT
Samvardhana Motherson International Limited,INE775A01035,MOTHERSON,MOTHERSON
Macrotech Developers Limited,INE670K01029,LODHA,LODHA
Bank Of Baroda,INE028A01039,BANKBARODA,BANKBARODA
Cipla Ltd.,INE059A01026,CIPLA,CIPLA
JSW Energy Limited,INE121E01018,JSWENERGY,JSWENERGY
TVS Motor Company Ltd.,INE494B01023,TVSMOTOR,TVSMOTOR
Punjab National Bank,INE160A01022,PNB,PNB
Shriram Finance Limited,INE721A01013,SHRIRAMFIN,SHRIRAMFIN
Cholamandalam Investment and Finance Company Ltd,INE121A01024,CHOLAFIN,CHOLAFIN
Bajaj Housing Finance Limited,INE377Y01014,BAJAJHFL,BAJAJHFL
SWIGGY LIMITED,INE00H001014,SWIGGY ,SWIGGY
Bajaj Holdings & Investment Limited,INE118A01012,BAJAJHLDNG,BAJAJHLDNG
NTPC GREEN ENERGY LIMITED,INE0ONG01011,NTPCGREEN,NTPCGREEN
Havells India Limited,INE176B01034,HAVELLS,HAVELLS
Adani Energy Solutions Limited,INE931S01010,ADANIENSOL,ADANIENSOL
CG Power and Industrial Solutions Limited,INE067A01029,CGPOWER,CGPOWER
Torrent Pharmaceuticals Ltd.,INE685A01028,TORNTPHARM,TORNTPHARM
Dr. Reddy's Laboratories Ltd.,INE089A01031,DRREDDY,DRREDDY
Indian Overseas Bank,INE565A01014,IOB,IOB
Zydus Lifesciences Limited,INE010B01027,ZYDUSLIFE,ZYDUSLIFE
